,Idade,Sexo,Escolaridade,Tipo_Moradia,Saldo_Investimento,Saldo_Conta_Corrente,Valor_Emprestimo,Duracao_Emprestimo,Inadimplencia,Probabilidades_previstas
487,62,H,Graduacao,De favor,Pouco,Sem conta,3757,24,0,0.13479
902,42,M,Graduacao,De favor,Sem investimento,Sem conta,10477,36,0,0.13476
363,21,M,Graduacao,Alugada,Pouco,Sem conta,1766,6,0,0.13464
871,46,M,Graduacao,Propria,Pouco,Alto,1343,6,0,0.13364
171,26,H,Graduacao,Propria,Pouco,Sem conta,763,12,0,0.1333
245,25,M,Graduacao,Propria,Pouco,Sem conta,1258,24,0,0.13274
772,36,M,Ensino Medio,Propria,Pouco,Sem conta,3275,21,0,0.13268
331,30,H,Graduacao,Propria,Moderado,Sem conta,1864,18,1,0.13165
243,27,H,Graduacao,Propria,Pouco,Sem conta,1185,12,0,0.13156
421,30,M,Graduacao,Propria,Sem investimento,Alto,2028,12,0,0.13135
686,27,M,Graduacao,Propria,Sem investimento,Alto,1347,10,0,0.1312
311,25,M,Graduacao,Propria,Moderado,Sem conta,5511,24,0,0.13033
136,27,M,Graduacao,Propria,Alto,Sem conta,8613,27,0,0.12997
215,39,H,Pos Graduacao,Propria,Sem investimento,Alto,932,6,0,0.12987
138,35,M,Graduacao,Propria,Sem investimento,Alto,2728,15,0,0.1293
571,38,M,Graduacao,Propria,Pouco,Sem conta,5954,30,0,0.12892
852,35,M,Graduacao,De favor,Pouco,Sem conta,1471,15,0,0.12865
66,29,H,Graduacao,Propria,Pouco,Sem conta,2171,12,0,0.12853
579,27,M,Pos Graduacao,Propria,Pouco,Sem conta,937,24,0,0.12794
271,37,H,Graduacao,Alugada,Alto,Sem conta,1402,12,0,0.12756
694,28,M,Graduacao,Propria,Pouco,Sem conta,2284,24,0,0.12699
327,34,H,Graduacao,Propria,Alto,Sem conta,1525,24,0,0.12673
100,41,M,Pos Graduacao,Alugada,Moderado,Sem conta,1469,24,0,0.12668
824,35,M,Ensino Medio,Propria,Pouco,Sem conta,3780,18,0,0.12663
324,36,H,Graduacao,Propria,Pouco,Sem conta,1028,18,0,0.1262
489,26,M,Graduacao,Alugada,Pouco,Sem conta,3518,6,0,0.12517
508,28,M,Graduacao,Propria,Pouco,Sem conta,1413,24,0,0.12473
847,28,M,Graduacao,Propria,Pouco,Sem conta,1249,24,0,0.12431
995,31,H,Pos Graduacao,Propria,Pouco,Sem conta,1736,12,0,0.12358
137,66,M,Pos Graduacao,Propria,Alto,Moderado,766,12,1,0.12343
670,27,M,Pos Graduacao,Propria,Moderado,Sem conta,4139,24,0,0.12291
106,39,M,Ensino Medio,Propria,Pouco,Sem conta,6458,18,1,0.1226
984,30,M,Pos Graduacao,Propria,Pouco,Sem conta,2028,24,0,0.12254
389,27,H,Graduacao,Propria,Pouco,Sem conta,1449,9,0,0.12222
859,26,M,Graduacao,Alugada,Moderado,Sem conta,3577,9,0,0.12199
784,60,M,Ensino Medio,Propria,Sem investimento,Alto,6468,20,0,0.12177
502,49,M,Graduacao,Propria,Moderado,Alto,1126,9,0,0.12131
676,33,M,Graduacao,Propria,Pouco,Sem conta,5150,24,0,0.12074
841,28,M,Pos Graduacao,Propria,Pouco,Sem conta,2993,21,0,0.12064
423,34,M,Ensino Medio,Propria,Moderado,Sem conta,1591,21,0,0.12043
977,42,M,Graduacao,Propria,Sem investimento,Alto,2427,18,0,0.11933
102,24,H,Graduacao,Propria,Pouco,Sem conta,932,6,0,0.11929
526,31,H,Graduacao,Propria,Moderado,Sem conta,1532,15,0,0.11817
437,37,H,Graduacao,Propria,Alto,Sem conta,1287,24,0,0.11807
49,28,H,Graduacao,Propria,Moderado,Sem conta,2073,12,0,0.11789
404,43,M,Graduacao,Propria,Sem investimento,Alto,2899,18,0,0.11788
56,52,M,Ensino Medio,Propria,Sem investimento,Alto,6468,12,1,0.11742
764,27,M,Graduacao,Propria,Moderado,Sem conta,2463,24,0,0.11713
698,24,M,Graduacao,Propria,Pouco,Sem conta,1800,18,0,0.11709
360,61,M,Graduacao,De favor,Sem investimento,Alto,1239,18,0,0.11698
533,26,M,Graduacao,Propria,Moderado,Sem conta,1311,24,0,0.11691
758,31,M,Graduacao,Propria,Pouco,Sem conta,1393,24,0,0.11672
469,35,M,Pos Graduacao,Propria,Pouco,Sem conta,4679,24,0,0.11596
622,38,M,Graduacao,Propria,Sem investimento,Sem conta,3914,48,1,0.11581
164,36,M,Graduacao,Propria,Alto,Sem conta,909,36,0,0.11545
547,32,M,Graduacao,Propria,Pouco,Sem conta,1552,24,0,0.11454
366,27,M,Graduacao,Propria,Pouco,Sem conta,3850,18,0,0.11435
193,29,M,Graduacao,Alugada,Pouco,Sem conta,2108,6,0,0.11378
592,36,H,Pos Graduacao,Propria,Alto,Sem conta,1572,21,0,0.11362
638,34,H,Graduacao,Propria,Pouco,Sem conta,1493,12,0,0.11354
860,27,M,Graduacao,Propria,Alto,Sem conta,5804,24,0,0.11325
433,33,M,Graduacao,Propria,Pouco,Sem conta,2058,24,0,0.11322
787,38,M,Graduacao,Propria,Sem investimento,Sem conta,2751,48,0,0.11304
643,33,M,Graduacao,Propria,Pouco,Sem conta,1851,24,0,0.11273
898,33,H,Pos Graduacao,Alugada,Sem investimento,Sem conta,2186,15,0,0.11129
256,35,M,Pos Graduacao,Propria,Pouco,Sem conta,2684,24,0,0.11123
46,39,M,Graduacao,Propria,Alto,Sem conta,2299,36,0,0.1112
238,35,H,Graduacao,Propria,Pouco,Sem conta,1291,12,0,0.11058
960,30,M,Graduacao,Alugada,Pouco,Sem conta,1740,6,0,0.11043
196,28,H,Graduacao,Propria,Pouco,Sem conta,1382,6,0,0.1102
949,31,M,Graduacao,Propria,Moderado,Sem conta,3621,24,1,0.10981
647,26,H,Graduacao,Propria,Alto,Sem conta,1386,12,1,0.10954
654,35,M,Graduacao,Propria,Pouco,Sem conta,2346,24,0,0.10895
314,29,M,Pos Graduacao,Propria,Sem investimento,Alto,1494,4,0,0.10883
263,57,H,Pos Graduacao,De favor,Pouco,Sem conta,2748,12,0,0.10863
863,32,M,Pos Graduacao,Propria,Alto,Sem conta,4526,27,0,0.10839
133,47,M,Graduacao,De favor,Pouco,Sem conta,1984,18,0,0.10808
861,28,M,Graduacao,Propria,Pouco,Sem conta,2169,18,1,0.10797
278,32,H,Graduacao,Propria,Pouco,Sem conta,4611,6,1,0.10787
800,54,M,Graduacao,De favor,Pouco,Sem conta,1597,24,0,0.10777
483,30,H,Graduacao,Propria,Alto,Sem conta,960,15,0,0.10764
463,38,M,Graduacao,Propria,Sem investimento,Alto,754,12,0,0.10724
451,29,H,Graduacao,Propria,Pouco,Sem conta,518,6,0,0.10583
394,31,M,Ensino Medio,Propria,Pouco,Sem conta,2406,9,0,0.10574
399,43,H,Pos Graduacao,Propria,Alto,Sem conta,1516,24,0,0.10525
371,33,M,Graduacao,Propria,Pouco,Sem conta,6070,18,0,0.10481
175,53,H,Ensino Medio,Propria,Sem investimento,Sem conta,7485,30,1,0.10474
889,40,M,Graduacao,Alugada,Sem investimento,Sem conta,7824,28,0,0.10465
132,27,M,Pos Graduacao,Propria,Pouco,Sem conta,2708,15,0,0.10441
211,45,H,Pos Graduacao,Propria,Sem investimento,Sem conta,3835,36,0,0.10407
459,32,M,Graduacao,Propria,Pouco,Sem conta,4594,18,0,0.1039
436,23,M,Pos Graduacao,Alugada,Alto,Sem conta,660,6,0,0.10346
971,43,M,Pos Graduacao,Propria,Pouco,Sem conta,7393,24,0,0.10271
710,32,M,Ensino Medio,Propria,Alto,Sem conta,629,18,0,0.10264
598,31,M,Graduacao,Propria,Pouco,Sem conta,2775,18,1,0.10225
345,43,H,Pos Graduacao,Propria,Pouco,Sem conta,1459,15,0,0.102
767,31,H,Graduacao,Alugada,Sem investimento,Sem conta,2901,10,0,0.10183
253,35,M,Graduacao,Propria,Moderado,Sem conta,4151,24,0,0.10153
282,49,M,Pos Graduacao,Propria,Sem investimento,Alto,1445,18,0,0.1014
532,41,M,Graduacao,Alugada,Pouco,Sem conta,1503,12,0,0.10101
492,27,H,Graduacao,Propria,Moderado,Sem conta,1237,6,0,0.1008
557,29,H,Graduacao,Propria,Sem investimento,Sem conta,5003,21,1,0.10037
855,33,M,Graduacao,Propria,Moderado,Sem conta,1474,24,0,0.10035
224,30,M,Graduacao,Propria,Pouco,Sem conta,4657,15,0,0.10032
908,46,H,Pos Graduacao,Propria,Pouco,Sem conta,3594,15,0,0.09976
428,20,M,Graduacao,Propria,Pouco,Sem conta,1313,9,0,0.09945
488,35,M,Pos Graduacao,Alugada,Moderado,Sem conta,1418,10,0,0.09937
19,31,M,Graduacao,Propria,Alto,Sem conta,3430,24,0,0.09851
403,27,M,Pos Graduacao,Propria,Pouco,Sem conta,802,14,0,0.09759
621,32,M,Graduacao,Propria,Pouco,Sem conta,1530,18,1,0.09737
0,67,M,Graduacao,Propria,Sem investimento,Pouco,1169,6,0,0.09728
160,36,M,Graduacao,Propria,Moderado,Sem conta,2872,24,0,0.09661
52,25,M,Graduacao,Propria,Pouco,Sem conta,1262,12,0,0.0963
608,33,M,Graduacao,Propria,Pouco,Sem conta,2051,18,0,0.09626
497,40,M,Graduacao,Propria,Pouco,Sem conta,1585,24,0,0.09582
642,40,M,Ensino Medio,Propria,Moderado,Sem conta,4623,15,1,0.09551
490,26,M,Graduacao,Propria,Pouco,Sem conta,1934,12,0,0.0955
228,22,M,Graduacao,Propria,Pouco,Sem conta,1478,9,1,0.0954
756,74,M,Ensino Medio,Propria,Pouco,Alto,1299,6,0,0.09509
541,60,M,Graduacao,De favor,Pouco,Sem conta,2032,24,0,0.09504
244,35,H,Pos Graduacao,Propria,Alto,Sem conta,3447,12,0,0.09477
440,39,M,Ensino Medio,Propria,Pouco,Sem conta,1884,12,0,0.09476
376,34,M,Graduacao,Propria,Pouco,Sem conta,2320,18,0,0.09464
827,36,M,Graduacao,Propria,Pouco,Sem conta,4165,18,1,0.09408
115,47,M,Graduacao,Propria,Sem investimento,Sem conta,3578,48,0,0.094
464,34,M,Graduacao,Propria,Pouco,Sem conta,1950,18,0,0.0939
290,26,M,Graduacao,Propria,Pouco,Sem conta,1076,12,0,0.09377
577,33,H,Graduacao,Propria,Sem investimento,Sem conta,1927,24,0,0.09321
868,37,M,Graduacao,Propria,Sem investimento,Sem conta,7409,36,0,0.09216
266,36,M,Graduacao,Propria,Sem investimento,Sem conta,6304,36,0,0.09208
820,27,M,Graduacao,Propria,Pouco,Sem conta,1101,12,0,0.09171
185,31,M,Graduacao,Propria,Pouco,Sem conta,1360,15,0,0.09143
749,33,M,Graduacao,Propria,Pouco,Sem conta,3029,15,0,0.09054
567,34,M,Graduacao,Propria,Alto,Sem conta,2578,24,0,0.09038
584,52,H,Ensino Medio,De favor,Sem investimento,Sem conta,2133,12,0,0.09037
493,38,M,Graduacao,Propria,Sem investimento,Alto,368,6,0,0.09035
61,50,M,Graduacao,Propria,Sem investimento,Alto,1537,15,0,0.09026
897,35,H,Graduacao,Propria,Alto,Sem conta,1592,12,0,0.08982
412,42,M,Ensino Medio,Propria,Pouco,Sem conta,2292,12,1,0.08929
358,28,M,Graduacao,Propria,Pouco,Sem conta,776,12,0,0.08903
734,37,H,Graduacao,Propria,Pouco,Sem conta,3380,4,0,0.0889
963,35,M,Graduacao,Propria,Alto,Sem conta,2397,24,1,0.088
883,65,H,Ensino Medio,Propria,Pouco,Sem conta,1098,18,0,0.08778
682,33,M,Graduacao,Propria,Pouco,Sem conta,1478,15,0,0.08758
247,35,M,Graduacao,Alugada,Moderado,Sem conta,1204,6,0,0.08743
873,24,H,Graduacao,Propria,Sem investimento,Sem conta,874,15,0,0.08736
836,21,H,Graduacao,Propria,Sem investimento,Sem conta,886,12,0,0.08615
370,36,M,Graduacao,Propria,Sem investimento,Sem conta,3079,36,0,0.08592
839,46,M,Graduacao,Propria,Pouco,Sem conta,2611,24,0,0.08545
222,30,M,Graduacao,Propria,Pouco,Sem conta,707,12,0,0.08493
978,47,M,Pos Graduacao,Propria,Pouco,Sem conta,2538,24,1,0.08456
881,48,M,Graduacao,De favor,Sem investimento,Sem conta,9277,24,0,0.08317
400,39,M,Graduacao,Propria,Pouco,Sem conta,1473,18,0,0.08292
104,26,M,Graduacao,Alugada,Sem investimento,Sem conta,2445,12,0,0.08272
550,23,H,Graduacao,Propria,Sem investimento,Sem conta,996,12,0,0.08249
318,32,M,Graduacao,Propria,Pouco,Sem conta,701,12,0,0.08111
941,31,M,Pos Graduacao,Propria,Pouco,Sem conta,1546,10,0,0.0811
452,34,M,Graduacao,Propria,Pouco,Sem conta,2759,12,0,0.08099
300,54,H,Ensino Medio,Propria,Pouco,Sem conta,672,6,0,0.08031
413,40,M,Pos Graduacao,Alugada,Alto,Sem conta,1597,10,0,0.08003
190,54,M,Ensino Medio,Propria,Alto,Sem conta,4591,24,1,0.07986
534,25,M,Graduacao,Propria,Sem investimento,Sem conta,3105,24,0,0.07937
932,30,M,Graduacao,Propria,Pouco,Sem conta,1224,9,0,0.07903
80,44,H,Graduacao,Propria,Sem investimento,Sem conta,5943,24,1,0.07903
791,41,M,Ensino Medio,Propria,Sem investimento,Sem conta,6313,24,0,0.07887
879,36,M,Graduacao,Propria,Sem investimento,Sem conta,6742,30,0,0.07876
264,32,M,Pos Graduacao,Propria,Pouco,Sem conta,1231,10,0,0.07871
48,39,M,Pos Graduacao,Propria,Pouco,Sem conta,7228,11,0,0.07845
275,32,M,Graduacao,Propria,Pouco,Sem conta,2697,9,0,0.07792
991,34,M,Pos Graduacao,Propria,Moderado,Sem conta,1569,15,0,0.07781
738,45,M,Ensino Medio,Propria,Pouco,Sem conta,6761,6,0,0.07776
298,43,M,Graduacao,Propria,Pouco,Sem conta,2515,18,0,0.07736
445,41,H,Pos Graduacao,Alugada,Sem investimento,Sem conta,1244,9,0,0.07719
150,42,M,Graduacao,De favor,Moderado,Sem conta,1346,6,0,0.07699
948,43,M,Pos Graduacao,Propria,Pouco,Sem conta,1533,18,1,0.0768
843,50,M,Graduacao,Propria,Pouco,Sem conta,1559,24,0,0.07619
269,25,M,Graduacao,Propria,Sem investimento,Sem conta,999,24,0,0.07582
365,36,M,Graduacao,Propria,Pouco,Sem conta,1542,12,0,0.07532
748,26,M,Graduacao,Propria,Sem investimento,Sem conta,5248,21,0,0.07475
786,40,M,Graduacao,Propria,Alto,Sem conta,2675,22,0,0.07466
204,38,M,Pos Graduacao,Propria,Pouco,Sem conta,1495,12,0,0.07287
844,47,M,Graduacao,Propria,Pouco,Sem conta,3422,18,0,0.07192
916,32,M,Graduacao,Propria,Moderado,Sem conta,2848,10,0,0.07186
674,41,M,Pos Graduacao,Propria,Alto,Sem conta,2580,21,1,0.0718
913,28,M,Graduacao,Propria,Alto,Sem conta,2142,11,0,0.07165
830,44,M,Graduacao,Propria,Alto,Sem conta,2375,24,0,0.07149
662,50,M,Graduacao,Propria,Pouco,Sem conta,2241,21,0,0.07111
939,46,M,Ensino Medio,Propria,Sem investimento,Sem conta,6842,24,0,0.07106
997,38,M,Graduacao,Propria,Pouco,Sem conta,804,12,0,0.07076
232,35,M,Graduacao,Propria,Moderado,Sem conta,2141,12,0,0.0698
354,46,M,Graduacao,De favor,Alto,Sem conta,727,10,0,0.06949
151,38,M,Graduacao,Propria,Pouco,Sem conta,1924,10,0,0.06856
673,24,M,Graduacao,Propria,Alto,Sem conta,2080,6,0,0.06825
867,42,M,Graduacao,Propria,Pouco,Sem conta,3331,12,0,0.06814
147,51,H,Graduacao,Propria,Moderado,Sem conta,682,12,0,0.06781
223,32,M,Graduacao,Propria,Sem investimento,Sem conta,2978,24,0,0.0673
352,38,M,Ensino Medio,Propria,Sem investimento,Sem conta,3229,18,0,0.06682
443,41,M,Pos Graduacao,Propria,Pouco,Sem conta,719,12,1,0.06681
716,40,M,Graduacao,Propria,Sem investimento,Sem conta,3077,30,0,0.06625
92,33,H,Pos Graduacao,Propria,Sem investimento,Sem conta,797,12,1,0.06608
773,52,M,Graduacao,Propria,Moderado,Sem conta,2223,24,0,0.06593
681,37,M,Graduacao,De favor,Sem investimento,Sem conta,2279,12,0,0.06587
942,31,M,Graduacao,Propria,Sem investimento,Sem conta,929,24,0,0.06585
891,46,M,Graduacao,Propria,Pouco,Sem conta,1829,15,0,0.06534
162,36,M,Graduacao,Propria,Alto,Sem conta,1262,15,0,0.06527
725,41,H,Pos Graduacao,Propria,Alto,Sem conta,250,6,0,0.06518
688,35,M,Graduacao,Propria,Moderado,Sem conta,2753,9,0,0.06501
206,43,M,Graduacao,Propria,Pouco,Sem conta,1935,12,0,0.06455
183,50,M,Graduacao,Propria,Alto,Sem conta,3777,24,0,0.0641
903,40,M,Graduacao,Alugada,Sem investimento,Sem conta,1386,15,0,0.06353
231,51,M,Pos Graduacao,De favor,Alto,Sem conta,2507,9,0,0.06341
606,74,M,Ensino Medio,Propria,Pouco,Sem conta,4526,24,0,0.0625
214,51,M,Graduacao,Propria,Sem investimento,Sem conta,3342,36,0,0.06102
348,34,M,Pos Graduacao,Propria,Moderado,Sem conta,1743,6,0,0.06066
754,55,M,Graduacao,De favor,Alto,Sem conta,1555,12,1,0.06066
712,46,M,Ensino Medio,Propria,Sem investimento,Sem conta,2476,21,0,0.05931
259,57,H,Pos Graduacao,Propria,Moderado,Sem conta,1154,11,0,0.05871
26,39,M,Pos Graduacao,Propria,Pouco,Sem conta,426,6,0,0.0587
53,31,M,Graduacao,Propria,Sem investimento,Sem conta,3378,18,0,0.05865
894,29,M,Graduacao,Propria,Sem investimento,Sem conta,1169,18,0,0.05854
6,53,M,Graduacao,Propria,Alto,Sem conta,2835,24,0,0.05851
135,38,H,Graduacao,Propria,Sem investimento,Sem conta,1240,12,0,0.0585
609,45,M,Graduacao,De favor,Sem investimento,Sem conta,1300,15,0,0.05816
680,56,H,Graduacao,Propria,Pouco,Sem conta,1538,6,0,0.05811
635,47,M,Graduacao,Propria,Pouco,Sem conta,1393,12,0,0.05806
165,32,M,Graduacao,Propria,Alto,Sem conta,2978,6,0,0.05771
2,49,M,Pos Graduacao,Propria,Pouco,Sem conta,2096,12,0,0.05708
377,36,M,Graduacao,De favor,Sem investimento,Sem conta,846,7,0,0.0567
962,29,M,Graduacao,Propria,Sem investimento,Sem conta,3556,15,0,0.05668
149,46,M,Graduacao,Propria,Alto,Sem conta,1582,18,0,0.05658
270,32,M,Graduacao,Propria,Sem investimento,Sem conta,2662,18,0,0.05638
379,52,H,Pos Graduacao,Propria,Moderado,Sem conta,362,6,0,0.0563
427,46,M,Graduacao,Propria,Alto,Sem conta,1149,18,0,0.05604
947,38,M,Ensino Medio,Propria,Sem investimento,Sem conta,2859,12,0,0.05592
695,50,M,Graduacao,Alugada,Alto,Sem conta,1236,6,0,0.05538
619,49,M,Pos Graduacao,Propria,Pouco,Sem conta,640,12,0,0.05526
519,36,M,Graduacao,De favor,Sem investimento,Sem conta,700,6,0,0.05493
305,33,M,Graduacao,Propria,Alto,Sem conta,1543,6,0,0.05459
281,50,M,Graduacao,Propria,Pouco,Sem conta,1574,12,0,0.05431
219,64,H,Graduacao,Propria,Pouco,Sem conta,1364,10,0,0.05371
486,52,M,Graduacao,Propria,Pouco,Sem conta,3077,12,0,0.05357
851,43,M,Graduacao,Propria,Sem investimento,Sem conta,4042,24,0,0.05319
234,42,M,Pos Graduacao,Propria,Pouco,Sem conta,1544,4,0,0.05296
20,48,M,Graduacao,Propria,Pouco,Sem conta,2134,9,0,0.05293
527,42,M,Pos Graduacao,Propria,Pouco,Sem conta,1503,4,0,0.05291
943,42,M,Pos Graduacao,Propria,Pouco,Sem conta,1455,4,0,0.05285
65,48,M,Graduacao,Propria,Sem investimento,Sem conta,5190,27,0,0.05282
856,40,H,Graduacao,Propria,Sem investimento,Sem conta,894,10,0,0.0523
987,64,H,Graduacao,Propria,Moderado,Sem conta,1409,13,0,0.05222
326,49,M,Graduacao,Alugada,Sem investimento,Sem conta,5801,12,0,0.05204
933,42,M,Graduacao,Propria,Alto,Sem conta,522,12,0,0.05118
726,47,M,Pos Graduacao,Propria,Alto,Sem conta,1316,15,0,0.05116
406,43,M,Graduacao,Propria,Sem investimento,Sem conta,2197,24,0,0.05105
24,26,M,Graduacao,Propria,Sem investimento,Sem conta,2069,10,0,0.05104
246,52,M,Graduacao,Propria,Pouco,Sem conta,717,12,0,0.05082
81,47,M,Graduacao,Propria,Alto,Sem conta,1213,15,0,0.0503
742,41,M,Graduacao,Propria,Sem investimento,Sem conta,3160,21,0,0.05019
505,27,M,Pos Graduacao,Propria,Sem investimento,Sem conta,1309,10,1,0.04972
484,44,M,Graduacao,Propria,Alto,Sem conta,1163,12,0,0.04951
781,60,M,Graduacao,Propria,Alto,Sem conta,1940,24,0,0.04859
940,45,M,Ensino Medio,Propria,Sem investimento,Sem conta,3527,12,0,0.04808
473,36,M,Ensino Medio,Propria,Sem investimento,Sem conta,1238,6,0,0.04763
625,35,M,Graduacao,Propria,Sem investimento,Sem conta,1979,15,0,0.04746
90,56,M,Graduacao,Propria,Pouco,Sem conta,618,12,0,0.0461
901,44,M,Graduacao,Propria,Sem investimento,Sem conta,3485,20,0,0.04574
55,26,M,Pos Graduacao,Propria,Sem investimento,Sem conta,783,6,0,0.04485
241,51,M,Graduacao,Propria,Pouco,Sem conta,1595,6,0,0.04467
71,46,M,Pos Graduacao,Alugada,Sem investimento,Sem conta,730,7,0,0.04384
990,37,M,Pos Graduacao,Propria,Sem investimento,Sem conta,3565,12,0,0.04364
792,27,M,Graduacao,Propria,Sem investimento,Sem conta,1221,6,0,0.04358
210,33,M,Graduacao,Propria,Sem investimento,Sem conta,3074,9,0,0.04292
803,35,M,Graduacao,Propria,Sem investimento,Sem conta,976,12,0,0.04256
715,63,M,Graduacao,Propria,Sem investimento,Sem conta,7596,30,0,0.04251
760,59,H,Graduacao,Propria,Sem investimento,Sem conta,5045,15,0,0.04214
544,61,M,Pos Graduacao,Propria,Pouco,Sem conta,1255,12,0,0.04211
928,58,M,Graduacao,Propria,Sem investimento,Sem conta,1867,30,0,0.04211
551,45,M,Pos Graduacao,Propria,Alto,Sem conta,1750,6,0,0.04182
769,63,M,Pos Graduacao,Propria,Pouco,Sem conta,1655,12,0,0.0405
16,53,M,Graduacao,Propria,Sem investimento,Sem conta,2424,24,0,0.04041
846,68,M,Graduacao,Alugada,Sem investimento,Sem conta,6761,18,1,0.04016
33,57,M,Pos Graduacao,Alugada,Sem investimento,Sem conta,1264,12,0,0.03939
514,54,M,Graduacao,Propria,Sem investimento,Sem conta,2255,24,0,0.0393
209,55,M,Graduacao,Propria,Alto,Sem conta,1413,12,0,0.03827
159,34,M,Pos Graduacao,Propria,Sem investimento,Sem conta,1898,6,0,0.03796
798,54,M,Graduacao,Propria,Sem investimento,Sem conta,717,24,0,0.03795
200,52,M,Graduacao,Propria,Alto,Sem conta,936,9,0,0.0373
8,61,M,Pos Graduacao,Propria,Alto,Sem conta,3059,12,0,0.03489
96,61,H,Graduacao,Propria,Sem investimento,Sem conta,2012,12,0,0.03436
297,45,M,Pos Graduacao,Propria,Sem investimento,Sem conta,1287,10,0,0.03226
356,49,M,Graduacao,Propria,Sem investimento,Sem conta,2331,12,0,0.03132
994,50,M,Graduacao,Propria,Sem investimento,Sem conta,2390,12,0,0.03061
816,62,M,Graduacao,Propria,Alto,Sem conta,1338,6,0,0.02707
430,74,M,Pos Graduacao,Propria,Pouco,Sem conta,3448,5,0,0.02635
283,63,M,Graduacao,Propria,Sem investimento,Sem conta,1520,15,0,0.02388
629,64,M,Pos Graduacao,Propria,Sem investimento,Sem conta,3832,9,0,0.0209
807,65,M,Graduacao,Propria,Sem investimento,Sem conta,930,12,0,0.02053
